"id","info"
"1","Succinate","metabolite"
"2","Aspartate","metabolite"
"3","Citric acid","metabolite"
"4","Pyruvate","metabolite"
"5","5-Phosphoribosylamine","metabolite"
"6","Glutamine","metabolite"
"7","Oxaloacetate","metabolite"
"8","Asparagine","metabolite"
"9","Phenylalanine","metabolite"
"10","L-Tryptophan","metabolite"
"11","Threonine","metabolite"
"12","Serine","metabolite"
"13","L-methionine","metabolite"
"14","L-Tyrosine","metabolite"
"15","L-Lysine","metabolite"
"16","L-Leucine","metabolite"
"17","Glycine","metabolite"
"18","Proline","metabolite"
"19","Valine","metabolite"
"20","Lysine","metabolite"
"21","Arginine","metabolite"
"22","Phosphoserine","metabolite"
"23","Beta-alanine","metabolite"
"24","Citrulline","metabolite"
"25","L-Homoserine","metabolite"
"26","Anthranilic acid","metabolite"
"27","Ornithine","metabolite"
"28","L-Ornithine","metabolite"
"29","a-Aminoadipic acid","metabolite"
"30","Glyceraldehyde 3-phosphate","metabolite"
"31","Cystathionine","metabolite"
"32","2-oxo-4-methylvaleric acid","metabolite"
"33","Dihydroxyacetone phosphate","metabolite"
"34","3-methyl-2-oxo-butanoic acid","metabolite"
"35","N-acetyl-glycine","metabolite"
"36","Choline","metabolite"
"37","Creatine","metabolite"
"38","Aminoacetone","metabolite"
"39","sarcosine","metabolite"
"40","Guanidineacetic acid","metabolite"
"41","Glyoxylic acid","metabolite"
"42","Arachidonic acid","metabolite"
"43","6-Phosphogluconic acid","metabolite"
"44","Benzoic acid","metabolite"
"45","d-Xylose","metabolite"
"46","Xylitol","metabolite"
"47","Glutamate","metabolite"
"48","Nicotinic acid","metabolite"
"49","Delta-hydroxylysine","metabolite"
"50","Uric acid","metabolite"
"51","Hexadecanoic acid","metabolite"
"52","Glycerol","metabolite"
"53","Lactate","metabolite"
"54","Oxalic acid","metabolite"
"55","3-Hydroxybutyric acid","metabolite"
"56","Urea","metabolite"
"57","2-Piperidinecarboxylic acid","metabolite"
"58","D-Fructose","metabolite"
"59","D-Glucuronic acid","metabolite"
"60","Cholesterol","metabolite"
"61","Glucose 6-phosphate","metabolite"
"62","glycol","metabolite"
"63","6-Dehydrotestosterone glucuronide","metabolite"
"64","Ribitol","metabolite"
"65","Myo-Inositol","metabolite"
"66","Glycolaldehyde","metabolite"
"67","Hypoxanthine","metabolite"
"68","Carnosine","metabolite"
"69","Galactonic acid","metabolite"
"70","d-Galactose","metabolite"
"71","1H-Indole-3-acetic acid","metabolite"
"72","5-Hydroxylysine","metabolite"
"73","Epinephrine","metabolite"
"74","Cysteine","metabolite"
"75","Sphingosine 1-phosphate","metabolite"
"76","Cadaverine","metabolite"
"77","Androstenedione","metabolite"
"78","18-Hydroxycorticosterone","metabolite"
"79","Sphingosine","metabolite"
"80","Hydroxyacetic acid","metabolite"
"81","Progesterone","metabolite"
"82","Calcidiol","metabolite"
"83","Uracil","metabolite"
"84","Guanine","metabolite"
"85","5-Hydroxyindoleacetic acid","metabolite"
"86","Thiamine","metabolite"
"87","Hypotaurine","metabolite"
"88","Isopentenyl pyrophosphate","metabolite"
"89","2-Butenedioic acid","metabolite"
"90","Nicotine","metabolite"
"91","Nicotinuric acid","metabolite"
"92","Cystine","metabolite"
"93","Alanine, Aspartate And Glutamate Metabolism","pathway"
"94","Aminoacyl-tRNA Biosynthesis","pathway"
"95","Aspartate Metabolism","pathway"
"96","Biosynthesis Of Amino Acids","pathway"
"97","Canavan Disease","pathway"
"98","Glycine, Serine And Threonine Metabolism","pathway"
"99","Hypoacetylaspartia","pathway"
"100","Metabolic Pathways","pathway"
"101","Nicotinate And Nicotinamide Metabolism","pathway"
"102","Protein Digestion And Absorption","pathway"
